ID,Domain,Subdomain,Indikator,Pertanyaan,Tipe,Reverse Score,Bobot,Skala,Kunci Scoring,Difficulty,Status
RS-0740,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0741,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0742,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0743,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0744,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0745,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0746,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0747,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0748,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0749,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0750,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0751,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0752,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0753,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0754,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0755,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0756,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0757,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0758,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0759,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0760,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0761,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0762,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0763,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0764,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0765,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0766,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0767,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0768,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0769,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0770,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0771,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0772,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0773,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0774,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0775,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0776,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0777,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0778,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0779,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0780,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0781,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0782,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0783,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0784,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0785,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0786,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0787,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0788,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0789,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0790,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0791,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0792,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0793,Motivasi,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan motivasi dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0794,Disiplin,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek disiplin.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0795,Kemandirian,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan kemandirian dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0796,Critical Thinking,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan critical thinking dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0797,Problem Solving,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan problem solving dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0798,Komunikasi,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek komunikasi.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
RS-0799,Leadership,,,Saya secara konsisten menunjukkan perilaku yang mendukung kemampuan leadership dalam aktivitas sehari-hari.,Positive,Tidak,1.0,Likert 1-5,1-2-3-4-5,Medium,Draft
RS-0800,Emotional Resilience,,,Saya masih memiliki kebiasaan yang menghambat perkembangan pada aspek emotional resilience.,Negative,Ya,1.0,Likert 1-5,5-4-3-2-1,Medium,Draft
